Reaction ID;Reaction class;
2249530;MA;
2254552;MA;
2926007;MA;
3802085;MA;
3802087;MA;
3968468;MA;
3983599;MA;
4313860;MA;
4430589;MA;
4430590;MA;
37045465;MA;
1833310;MA;
4212725;MA;
4314490;MA;
4300946;MA;
43470781;MA;
43470789;MA;
36212272;MA;
36212278;MA;
5097777;MA;
5108699;MA;
5108701;MA;
46723168;MA;
45873495;MA;
45873496;MA;
10312198;MA;
8521425;MA;
8709588;MA;
1248970;MA;
4029508;MA;
4301988;MA;
4918669;MA;
4918670;MA;
4918671;MA;
4918672;MA;
4918673;MA;
4918674;MA;
31782152;MA;
24073651;MA;
47825583;MA;
4579528;MA;
16850;MA;
28874530;MA;
26000330;MA;
10125768;MA;
10312196;MA;
2249767;MA;
9461481;MA;
2068762;MA;
2823463;MA;
3119049;MA;
3125044;MA;
4470487;MA;
4478940;MA;
2068763;MA;
9946159;MA;
28704189;MA;
3744140;MA;
3797422;MA;
8640008;MA;
9091976;MA;
39499724;MA;
10286250;MA;
38053450;MA;
38053451;MA;
38053454;MA;
38053462;MA;
42799937;MA;
38053456;MA;
38053463;MA;
38053455;MA;
38053460;MA;
38053457;MA;
3798113;MA;
25977635;MA;
38053453;MA;
39499700;MA;
25977636;MA;
25977637;MA;
38053469;MA;
3802672;MA;
3525851;MA;
3798261;MA;
10294997;MA;
4956259;MA;
4860517;MA;
9878097;MA;
